n_intervention (int), date (str), description (str), n_registre (int), nom_latin (str), n_puce (int)
1009,20/6/2017,platre,10,Pongo pygmaeus,14
1010,20/6/2017,vaccin,2,Falco peregrinus,11
1011,20/6/2017,operation,29,Hippopotamus amphibius,32
1012,21/6/2017,soins divers,30,Cervus canadensis,27
1013,21/6/2017,soins divers,1,Elephas maximus,21
1014,21/6/2017,operation,12,Cervus canadensis,12
1015,21/6/2017,platre,12,Aptenodytes forsteri,4
1016,21/6/2017,vaccin,2,Ursus maritimus,14
1017,21/6/2017,vaccin,26,Falco peregrinus,27
1018,21/6/2017,vaccin,25,Lynx rufus,3
1019,21/6/2017,mise en quarantaine,30,Urocyon cinereoargenteus,11
1020,22/6/2017,mise en quarantaine,12,Hippopotamus amphibius,1
1021,22/6/2017,soins divers,7,Struthio camelus,36
1022,23/6/2017,soins divers,10,Urocyon cinereoargenteus,8
1023,24/6/2017,soins divers,10,Falco peregrinus,24
1024,25/6/2017,vaccin,16,Panthera leo,13
1025,25/6/2017,mise en quarantaine,1,Ailurus fulgens,32
1026,25/6/2017,platre,19,Canis dingo,22
1027,25/6/2017,soins divers,17,Equus caballus,3
1028,26/6/2017,operation,11,Bubo scandiacus,9
1029,27/6/2017,mise en quarantaine,19,Falco peregrinus,7
1030,27/6/2017,operation,19,Lynx rufus,2
1031,27/6/2017,soins divers,4,Felis silvestris,6
1032,27/6/2017,platre,2,Ardea cinerea,29
1033,27/6/2017,vaccin,4,Lutra lutra,3
1034,27/6/2017,operation,19,Hippopotamus amphibius,27
1035,27/6/2017,mise en quarantaine,25,Hippopotamus amphibius,28
1036,27/6/2017,mise en quarantaine,26,Equus caballus,17
1037,27/6/2017,soins divers,28,Cervus canadensis,27
1038,27/6/2017,platre,30,Urocyon cinereoargenteus,21
1039,27/6/2017,vaccin,28,Canis dingo,30
1040,27/6/2017,mise en quarantaine,28,Lutra lutra,24
1041,27/6/2017,vaccin,7,Lutra lutra,11
1042,27/6/2017,operation,16,Aptenodytes forsteri,16
1043,27/6/2017,mise en quarantaine,17,Loxodonta africana,4
1044,27/6/2017,vaccin,12,Canis dingo,8
1045,28/6/2017,platre,26,Struthio camelus,30
1046,28/6/2017,soins divers,17,Urocyon cinereoargenteus,24
1047,28/6/2017,soins divers,4,Prunella modularis,9
1048,28/6/2017,mise en quarantaine,7,Pongo pygmaeus,5
1049,28/6/2017,operation,26,Bubo scandiacus,8
1050,28/6/2017,operation,7,Ailurus fulgens,24
1051,28/6/2017,mise en quarantaine,25,Panthera leo,41
1052,1/7/2017,mise en quarantaine,3,Ursus maritimus,22
1053,1/7/2017,platre,17,Bubo scandiacus,15
1054,2/7/2017,vaccin,1,Ailuropoda melanoleuca,13
1055,2/7/2017,platre,19,Aptenodytes forsteri,47
1056,2/7/2017,vaccin,1,Urocyon cinereoargenteus,12
1057,2/7/2017,vaccin,25,Canis dingo,13
1058,2/7/2017,operation,12,Aptenodytes forsteri,47
1059,2/7/2017,platre,2,Aptenodytes forsteri,21
1060,2/7/2017,mise en quarantaine,7,Panthera uncia,3
1061,2/7/2017,platre,17,Pongo pygmaeus,12
1062,2/7/2017,operation,12,Haliaeetus leucocephalus,3
1063,2/7/2017,operation,17,Cervus canadensis,25
1064,3/7/2017,platre,30,Ardea cinerea,35
1065,4/7/2017,mise en quarantaine,7,Falco peregrinus,25
1066,4/7/2017,soins divers,25,Equus caballus,26
1067,4/7/2017,vaccin,3,Ardea cinerea,30
1068,4/7/2017,mise en quarantaine,28,Prunella modularis,6
1069,4/7/2017,operation,1,Felis silvestris,28
1070,4/7/2017,vaccin,28,Aptenodytes forsteri,29
1071,4/7/2017,soins divers,7,Panthera uncia,16
1072,4/7/2017,operation,16,Hippopotamus amphibius,19
1073,4/7/2017,vaccin,11,Panthera pardus,17
1074,4/7/2017,vaccin,30,Urocyon cinereoargenteus,24
1075,4/7/2017,platre,3,Falco peregrinus,18
1076,4/7/2017,platre,30,Panthera uncia,1
1077,4/7/2017,soins divers,3,Pan troglodytes,29
1078,5/7/2017,soins divers,28,Felis silvestris,23
1079,5/7/2017,operation,12,Cervus canadensis,31
1080,5/7/2017,operation,29,Panthera uncia,25
1081,5/7/2017,operation,1,Panthera tigris,12
1082,5/7/2017,operation,2,Ailurus fulgens,33
1083,5/7/2017,vaccin,17,Rangifer tarandus,12
1084,5/7/2017,operation,4,Panthera leo,17
1085,6/7/2017,operation,1,Prunella modularis,4
1086,6/7/2017,soins divers,12,Cervus canadensis,6
1087,7/7/2017,platre,16,Aptenodytes forsteri,7
1088,7/7/2017,platre,3,Haliaeetus leucocephalus,3
1089,7/7/2017,mise en quarantaine,30,Canis lupus,25
1090,7/7/2017,platre,28,Panthera leo,43
1091,7/7/2017,platre,1,Aptenodytes forsteri,14
1092,7/7/2017,vaccin,17,Struthio camelus,39
1093,7/7/2017,operation,4,Pongo pygmaeus,8
1094,7/7/2017,vaccin,16,Struthio camelus,40
1095,7/7/2017,soins divers,27,Pan troglodytes,1
1096,7/7/2017,platre,10,Prunella modularis,5
1097,7/7/2017,vaccin,28,Lynx rufus,11
1098,8/7/2017,operation,2,Loxodonta africana,12
1099,8/7/2017,vaccin,12,Hippopotamus amphibius,2
1100,8/7/2017,operation,16,Prunella modularis,1
1101,8/7/2017,mise en quarantaine,1,Urocyon cinereoargenteus,11
1102,8/7/2017,soins divers,2,Ailurus fulgens,36
1103,8/7/2017,vaccin,29,Elephas maximus,10
1104,8/7/2017,mise en quarantaine,11,Falco peregrinus,25
1105,8/7/2017,soins divers,1,Equus caballus,11
1106,8/7/2017,vaccin,26,Eunectes murinus,6
1107,8/7/2017,vaccin,27,Falco peregrinus,24
1108,8/7/2017,mise en quarantaine,26,Giraffa camelopardalis,30
1109,9/7/2017,operation,3,Ailurus fulgens,5
1110,9/7/2017,operation,12,Ursus maritimus,32
1111,9/7/2017,vaccin,29,Aptenodytes forsteri,29
1112,9/7/2017,operation,28,Cervus canadensis,9
1113,9/7/2017,platre,16,Ursus maritimus,21
1114,9/7/2017,vaccin,16,Falco peregrinus,10
1115,9/7/2017,mise en quarantaine,16,Rangifer tarandus,7
1116,9/7/2017,vaccin,1,Ailurus fulgens,27
1117,9/7/2017,mise en quarantaine,19,Haliaeetus leucocephalus,29
1118,9/7/2017,mise en quarantaine,27,Rangifer tarandus,1
1119,10/7/2017,vaccin,2,Ailuropoda melanoleuca,23
1120,10/7/2017,vaccin,10,Panthera leo,6
1121,10/7/2017,platre,12,Pongo pygmaeus,25
1122,10/7/2017,operation,26,Cervus canadensis,24
1123,10/7/2017,mise en quarantaine,25,Canis dingo,1
1124,10/7/2017,mise en quarantaine,10,Pan troglodytes,39
1125,10/7/2017,platre,25,Giraffa camelopardalis,11
1126,10/7/2017,platre,10,Lynx rufus,6
1127,10/7/2017,soins divers,19,Cervus canadensis,32
1128,10/7/2017,operation,19,Eunectes murinus,28
1129,10/7/2017,platre,25,Haliaeetus leucocephalus,22
1130,10/7/2017,mise en quarantaine,26,Ailuropoda melanoleuca,14
1131,10/7/2017,platre,4,Hippopotamus amphibius,21
1132,10/7/2017,platre,16,Pan troglodytes,6
1133,10/7/2017,soins divers,2,Struthio camelus,1
1134,10/7/2017,soins divers,4,Canis dingo,9
1135,10/7/2017,operation,1,Ailurus fulgens,33
1136,11/7/2017,mise en quarantaine,4,Urocyon cinereoargenteus,3
1137,11/7/2017,platre,17,Ardea cinerea,27
1138,12/7/2017,vaccin,2,Prunella modularis,19
1139,12/7/2017,soins divers,3,Ardea cinerea,15
1140,12/7/2017,operation,12,Lutra lutra,12
1141,12/7/2017,platre,7,Felis silvestris,22
1142,12/7/2017,mise en quarantaine,3,Elephas maximus,18
1143,12/7/2017,platre,17,Panthera uncia,37
1144,12/7/2017,operation,19,Hippopotamus amphibius,23
1145,12/7/2017,mise en quarantaine,4,Ursus maritimus,9
1146,12/7/2017,mise en quarantaine,3,Aptenodytes forsteri,34
1147,12/7/2017,platre,12,Panthera uncia,23
1148,12/7/2017,soins divers,4,Bubo scandiacus,24
1149,12/7/2017,mise en quarantaine,19,Ailurus fulgens,35
1150,13/7/2017,soins divers,7,Ursus maritimus,20
1151,13/7/2017,operation,2,Canis lupus,17
1152,13/7/2017,platre,29,Canis lupus,6
1153,13/7/2017,mise en quarantaine,4,Lynx rufus,18
1154,13/7/2017,mise en quarantaine,16,Bubo scandiacus,27
1155,13/7/2017,platre,27,Panthera tigris,17
1156,13/7/2017,vaccin,3,Panthera uncia,8
1157,13/7/2017,soins divers,29,Panthera uncia,26
1158,13/7/2017,operation,25,Panthera leo,15
1159,14/7/2017,soins divers,28,Rangifer tarandus,1
1160,14/7/2017,operation,28,Urocyon cinereoargenteus,13
1161,14/7/2017,soins divers,11,Canis lupus,11
1162,14/7/2017,platre,29,Panthera tigris,12
1163,14/7/2017,soins divers,1,Ailurus fulgens,41
1164,14/7/2017,platre,7,Urocyon cinereoargenteus,17
1165,14/7/2017,soins divers,25,Urocyon cinereoargenteus,13
1166,14/7/2017,mise en quarantaine,3,Ardea cinerea,3
1167,14/7/2017,soins divers,10,Giraffa camelopardalis,16
1168,15/7/2017,operation,10,Ailuropoda melanoleuca,4
1169,15/7/2017,soins divers,3,Ailurus fulgens,38
1170,15/7/2017,mise en quarantaine,1,Ailurus fulgens,38
1171,15/7/2017,operation,17,Ursus maritimus,17
1172,15/7/2017,mise en quarantaine,7,Canis dingo,1
1173,15/7/2017,vaccin,29,Panthera pardus,12
1174,15/7/2017,platre,17,Struthio camelus,32
1175,15/7/2017,mise en quarantaine,4,Urocyon cinereoargenteus,27
1176,15/7/2017,soins divers,26,Panthera pardus,11
1177,15/7/2017,soins divers,19,Elephas maximus,34
1178,15/7/2017,mise en quarantaine,10,Ardea cinerea,38
1179,15/7/2017,soins divers,30,Pongo pygmaeus,13
1180,15/7/2017,soins divers,28,Struthio camelus,30
1181,15/7/2017,mise en quarantaine,25,Ursus maritimus,16
1182,15/7/2017,vaccin,16,Canis dingo,28
1183,16/7/2017,mise en quarantaine,28,Ursus maritimus,22
1184,16/7/2017,operation,28,Pan troglodytes,39
1185,16/7/2017,soins divers,17,Rangifer tarandus,1
1186,16/7/2017,vaccin,30,Lutra lutra,9
1187,16/7/2017,operation,19,Haliaeetus leucocephalus,8
1188,16/7/2017,operation,2,Felis silvestris,15
1189,16/7/2017,operation,17,Urocyon cinereoargenteus,12
1190,17/7/2017,vaccin,19,Ursus maritimus,9
1191,17/7/2017,soins divers,1,Ardea cinerea,42
1192,18/7/2017,soins divers,10,Ailurus fulgens,20
1193,18/7/2017,vaccin,29,Panthera uncia,33
1194,18/7/2017,vaccin,3,Panthera uncia,30
1195,18/7/2017,platre,4,Bubo scandiacus,11
1196,19/7/2017,mise en quarantaine,19,Struthio camelus,23
1197,19/7/2017,soins divers,28,Urocyon cinereoargenteus,7
1198,19/7/2017,platre,11,Bubo scandiacus,2
1199,19/7/2017,soins divers,26,Canis dingo,20
1200,19/7/2017,mise en quarantaine,4,Panthera pardus,6
1201,19/7/2017,platre,25,Falco peregrinus,15
1202,19/7/2017,soins divers,29,Bubo scandiacus,4
1203,19/7/2017,soins divers,10,Eunectes murinus,29
1204,19/7/2017,vaccin,2,Eunectes murinus,17
1205,19/7/2017,mise en quarantaine,4,Giraffa camelopardalis,6
1206,19/7/2017,soins divers,1,Rangifer tarandus,5
1207,19/7/2017,mise en quarantaine,26,Ardea cinerea,31
1208,19/7/2017,vaccin,27,Panthera uncia,3
1209,19/7/2017,vaccin,16,Hippopotamus amphibius,28
1210,19/7/2017,soins divers,26,Giraffa camelopardalis,23
1211,19/7/2017,platre,27,Bubo scandiacus,35
1212,19/7/2017,soins divers,1,Pongo pygmaeus,28
1213,19/7/2017,operation,28,Panthera leo,12
1214,19/7/2017,operation,2,Urocyon cinereoargenteus,30
1215,20/7/2017,soins divers,1,Bubo scandiacus,23
1216,20/7/2017,vaccin,11,Elephas maximus,35
1217,21/7/2017,operation,7,Panthera uncia,12
1218,22/7/2017,platre,27,Rangifer tarandus,5
1219,23/7/2017,platre,4,Haliaeetus leucocephalus,6
1220,23/7/2017,mise en quarantaine,2,Ursus maritimus,18
1221,24/7/2017,mise en quarantaine,16,Falco peregrinus,12
1222,24/7/2017,soins divers,16,Equus caballus,24
1223,24/7/2017,platre,10,Falco peregrinus,18
1224,24/7/2017,soins divers,1,Eunectes murinus,30
1225,25/7/2017,platre,25,Urocyon cinereoargenteus,29
1226,25/7/2017,soins divers,17,Canis dingo,3
1227,25/7/2017,soins divers,3,Pan troglodytes,13
1228,25/7/2017,soins divers,16,Panthera pardus,5
1229,25/7/2017,platre,25,Falco peregrinus,19
1230,25/7/2017,vaccin,3,Prunella modularis,4
1231,25/7/2017,mise en quarantaine,4,Felis silvestris,2
1232,25/7/2017,operation,10,Aptenodytes forsteri,38
1233,25/7/2017,vaccin,27,Hippopotamus amphibius,19
1234,25/7/2017,soins divers,10,Ursus maritimus,15
1235,25/7/2017,operation,2,Equus caballus,24
1236,25/7/2017,vaccin,26,Hippopotamus amphibius,28
1237,25/7/2017,operation,19,Prunella modularis,4
1238,26/7/2017,platre,28,Lutra lutra,27
1239,26/7/2017,vaccin,27,Elephas maximus,25
1240,26/7/2017,soins divers,3,Pongo pygmaeus,17
1241,27/7/2017,platre,16,Canis lupus,13
1242,27/7/2017,operation,10,Lynx rufus,18
1243,27/7/2017,soins divers,4,Pongo pygmaeus,9
1244,27/7/2017,platre,11,Hippopotamus amphibius,35
1245,27/7/2017,vaccin,7,Ailurus fulgens,15
1246,27/7/2017,vaccin,25,Falco peregrinus,24
1247,28/7/2017,vaccin,28,Giraffa camelopardalis,14
1248,28/7/2017,platre,27,Rangifer tarandus,3
1249,28/7/2017,soins divers,11,Falco peregrinus,8
1250,28/7/2017,soins divers,11,Panthera pardus,3
1251,28/7/2017,soins divers,10,Canis lupus,14
1252,28/7/2017,mise en quarantaine,19,Pongo pygmaeus,8
1253,1/8/2017,vaccin,3,Loxodonta africana,14
1254,1/8/2017,operation,26,Panthera leo,12
1255,1/8/2017,mise en quarantaine,28,Bubo scandiacus,21
1256,1/8/2017,soins divers,11,Canis dingo,26
1257,1/8/2017,vaccin,29,Bubo scandiacus,35
1258,1/8/2017,mise en quarantaine,28,Struthio camelus,10
1259,1/8/2017,platre,3,Equus caballus,3
1260,1/8/2017,platre,27,Cervus canadensis,23
1261,1/8/2017,soins divers,26,Cervus canadensis,7
1262,2/8/2017,vaccin,25,Eunectes murinus,16
1263,3/8/2017,platre,1,Ursus maritimus,16
1264,4/8/2017,vaccin,17,Ailurus fulgens,36
1265,4/8/2017,vaccin,10,Equus caballus,30
1266,5/8/2017,platre,2,Hippopotamus amphibius,10
1267,5/8/2017,platre,25,Pongo pygmaeus,35
1268,5/8/2017,operation,10,Haliaeetus leucocephalus,20
1269,5/8/2017,vaccin,17,Equus caballus,26
1270,5/8/2017,soins divers,10,Panthera pardus,6
1271,5/8/2017,mise en quarantaine,12,Struthio camelus,28
1272,5/8/2017,platre,16,Equus caballus,6
1273,6/8/2017,soins divers,28,Eunectes murinus,1
1274,6/8/2017,operation,4,Ailurus fulgens,36
1275,6/8/2017,platre,11,Falco peregrinus,9
1276,7/8/2017,mise en quarantaine,27,Ailuropoda melanoleuca,3
1277,8/8/2017,operation,3,Cervus canadensis,29
1278,8/8/2017,mise en quarantaine,25,Ailurus fulgens,38
1279,8/8/2017,soins divers,29,Prunella modularis,12
1280,8/8/2017,operation,16,Ailurus fulgens,29
1281,8/8/2017,soins divers,27,Panthera tigris,16
1282,8/8/2017,mise en quarantaine,27,Ardea cinerea,7
1283,8/8/2017,mise en quarantaine,1,Elephas maximus,28
1284,8/8/2017,platre,11,Pongo pygmaeus,25
1285,8/8/2017,vaccin,29,Equus caballus,32
1286,8/8/2017,platre,26,Equus caballus,21
1287,9/8/2017,mise en quarantaine,29,Cervus canadensis,1
1288,9/8/2017,operation,7,Bubo scandiacus,3
1289,9/8/2017,mise en quarantaine,16,Aptenodytes forsteri,25
1290,9/8/2017,operation,16,Lynx rufus,14
1291,9/8/2017,soins divers,10,Ardea cinerea,32
1292,9/8/2017,operation,10,Pongo pygmaeus,11
1293,9/8/2017,vaccin,12,Ailurus fulgens,27
1294,9/8/2017,operation,4,Hippopotamus amphibius,12
1295,9/8/2017,vaccin,16,Cervus canadensis,28
1296,9/8/2017,soins divers,10,Haliaeetus leucocephalus,18
1297,9/8/2017,soins divers,4,Canis dingo,20
1298,10/8/2017,mise en quarantaine,16,Haliaeetus leucocephalus,18
1299,11/8/2017,vaccin,2,Panthera pardus,3
1300,11/8/2017,platre,27,Ailuropoda melanoleuca,20
1301,11/8/2017,vaccin,16,Panthera uncia,28
1302,11/8/2017,mise en quarantaine,11,Haliaeetus leucocephalus,7
1303,11/8/2017,platre,3,Panthera uncia,11
1304,12/8/2017,platre,26,Canis lupus,11
1305,12/8/2017,mise en quarantaine,10,Equus caballus,16
1306,12/8/2017,operation,16,Equus caballus,14
1307,12/8/2017,mise en quarantaine,25,Canis lupus,4
1308,12/8/2017,operation,10,Ursus maritimus,11
1309,13/8/2017,mise en quarantaine,7,Pongo pygmaeus,3
1310,13/8/2017,platre,12,Urocyon cinereoargenteus,12
1311,13/8/2017,operation,3,Ursus maritimus,22
1312,13/8/2017,mise en quarantaine,11,Hippopotamus amphibius,24
1313,13/8/2017,operation,28,Lutra lutra,13
1314,13/8/2017,soins divers,7,Rangifer tarandus,1
1315,13/8/2017,platre,30,Ailurus fulgens,5
1316,14/8/2017,operation,10,Urocyon cinereoargenteus,4
1317,14/8/2017,mise en quarantaine,17,Urocyon cinereoargenteus,12
1318,15/8/2017,vaccin,25,Ailurus fulgens,11
1319,16/8/2017,operation,10,Ursus maritimus,9
1320,16/8/2017,platre,25,Urocyon cinereoargenteus,17
1321,16/8/2017,operation,4,Pan troglodytes,38
1322,16/8/2017,soins divers,30,Struthio camelus,8
1323,16/8/2017,mise en quarantaine,30,Canis dingo,7
1324,16/8/2017,mise en quarantaine,19,Struthio camelus,6
1325,16/8/2017,soins divers,4,Haliaeetus leucocephalus,4
1326,16/8/2017,vaccin,25,Ursus maritimus,4
1327,16/8/2017,mise en quarantaine,29,Canis dingo,30
1328,16/8/2017,soins divers,11,Struthio camelus,44
1329,16/8/2017,vaccin,4,Ardea cinerea,35
1330,16/8/2017,vaccin,4,Panthera tigris,22
1331,16/8/2017,platre,28,Ardea cinerea,26
1332,16/8/2017,soins divers,7,Pan troglodytes,5
1333,16/8/2017,mise en quarantaine,17,Lynx rufus,4
1334,16/8/2017,operation,12,Hippopotamus amphibius,9
1335,16/8/2017,vaccin,30,Aptenodytes forsteri,27
1336,16/8/2017,mise en quarantaine,25,Prunella modularis,18
1337,17/8/2017,soins divers,30,Ardea cinerea,1
1338,17/8/2017,operation,29,Elephas maximus,37
1339,18/8/2017,soins divers,11,Panthera pardus,8
1340,18/8/2017,mise en quarantaine,16,Urocyon cinereoargenteus,27
1341,18/8/2017,vaccin,25,Elephas maximus,3
1342,18/8/2017,platre,1,Felis silvestris,21
1343,18/8/2017,operation,11,Ardea cinerea,10
1344,19/8/2017,platre,30,Giraffa camelopardalis,17
1345,20/8/2017,mise en quarantaine,11,Ursus maritimus,15
1346,21/8/2017,operation,25,Prunella modularis,11
1347,21/8/2017,mise en quarantaine,30,Panthera leo,14
1348,21/8/2017,soins divers,11,Urocyon cinereoargenteus,29
1349,22/8/2017,operation,26,Panthera uncia,33
1350,22/8/2017,mise en quarantaine,2,Falco peregrinus,31
1351,22/8/2017,operation,2,Panthera pardus,8
1352,23/8/2017,platre,7,Struthio camelus,13
1353,24/8/2017,platre,19,Rangifer tarandus,5
1354,24/8/2017,operation,17,Giraffa camelopardalis,31
1355,24/8/2017,mise en quarantaine,7,Panthera tigris,1
1356,24/8/2017,vaccin,12,Equus caballus,5
1357,24/8/2017,operation,16,Pongo pygmaeus,24
1358,24/8/2017,soins divers,3,Cervus canadensis,4
1359,24/8/2017,operation,4,Falco peregrinus,27
1360,25/8/2017,operation,3,Elephas maximus,14
1361,25/8/2017,soins divers,11,Pongo pygmaeus,13
1362,25/8/2017,mise en quarantaine,10,Lynx rufus,16
1363,25/8/2017,vaccin,10,Canis lupus,25
1364,25/8/2017,soins divers,27,Giraffa camelopardalis,15
1365,25/8/2017,platre,30,Prunella modularis,18
1366,25/8/2017,platre,4,Giraffa camelopardalis,16
1367,25/8/2017,mise en quarantaine,25,Falco peregrinus,26
1368,25/8/2017,soins divers,1,Struthio camelus,26
1369,25/8/2017,mise en quarantaine,16,Panthera pardus,7
1370,25/8/2017,vaccin,17,Felis silvestris,20
1371,25/8/2017,platre,17,Ailurus fulgens,39
1372,25/8/2017,soins divers,29,Canis lupus,23
1373,25/8/2017,mise en quarantaine,12,Rangifer tarandus,22
1374,25/8/2017,operation,3,Ailurus fulgens,29
1375,25/8/2017,platre,19,Ardea cinerea,14
1376,25/8/2017,vaccin,16,Giraffa camelopardalis,13
1377,25/8/2017,soins divers,2,Felis silvestris,28
1378,25/8/2017,soins divers,17,Aptenodytes forsteri,6
1379,25/8/2017,mise en quarantaine,11,Ursus maritimus,32
1380,25/8/2017,vaccin,29,Panthera tigris,4
1381,25/8/2017,operation,1,Ardea cinerea,28
1382,26/8/2017,soins divers,19,Loxodonta africana,3
1383,26/8/2017,mise en quarantaine,26,Equus caballus,31
1384,26/8/2017,vaccin,25,Ursus maritimus,17
1385,26/8/2017,platre,12,Canis dingo,10
1386,26/8/2017,soins divers,7,Lutra lutra,13
1387,26/8/2017,mise en quarantaine,30,Haliaeetus leucocephalus,29
1388,26/8/2017,vaccin,19,Ardea cinerea,35
1389,27/8/2017,mise en quarantaine,3,Urocyon cinereoargenteus,24
1390,27/8/2017,soins divers,17,Lutra lutra,9
1391,27/8/2017,mise en quarantaine,19,Ursus maritimus,29
1392,28/8/2017,vaccin,26,Ardea cinerea,34
1393,1/9/2017,mise en quarantaine,16,Pongo pygmaeus,35
1394,1/9/2017,operation,12,Pongo pygmaeus,18
1395,1/9/2017,mise en quarantaine,17,Prunella modularis,18
1396,1/9/2017,platre,2,Canis dingo,12
1397,1/9/2017,mise en quarantaine,27,Lutra lutra,11
1398,1/9/2017,soins divers,30,Pongo pygmaeus,19
1399,1/9/2017,platre,17,Giraffa camelopardalis,24
1400,1/9/2017,mise en quarantaine,11,Struthio camelus,44
1401,1/9/2017,vaccin,26,Panthera uncia,11
1402,1/9/2017,vaccin,29,Panthera uncia,10
1403,1/9/2017,operation,3,Panthera leo,22
1404,1/9/2017,soins divers,1,Felis silvestris,12
1405,2/9/2017,platre,1,Loxodonta africana,4
1406,2/9/2017,soins divers,2,Ailurus fulgens,32
1407,2/9/2017,platre,16,Pongo pygmaeus,34
1408,2/9/2017,platre,12,Struthio camelus,18
1409,2/9/2017,platre,30,Panthera uncia,13
1410,3/9/2017,vaccin,30,Ailurus fulgens,38
1411,3/9/2017,platre,19,Cervus canadensis,20
1412,3/9/2017,platre,25,Haliaeetus leucocephalus,18
1413,3/9/2017,platre,12,Pan troglodytes,30
1414,4/9/2017,vaccin,19,Ailurus fulgens,27
1415,4/9/2017,mise en quarantaine,4,Equus caballus,9
1416,5/9/2017,operation,25,Hippopotamus amphibius,23
1417,5/9/2017,vaccin,30,Panthera tigris,4
1418,5/9/2017,mise en quarantaine,25,Bubo scandiacus,10
1419,5/9/2017,mise en quarantaine,27,Haliaeetus leucocephalus,5
1420,5/9/2017,platre,7,Falco peregrinus,11
1421,5/9/2017,mise en quarantaine,3,Cervus canadensis,13
1422,5/9/2017,vaccin,2,Elephas maximus,39
1423,5/9/2017,mise en quarantaine,2,Urocyon cinereoargenteus,26
1424,5/9/2017,platre,28,Lynx rufus,13
1425,5/9/2017,vaccin,30,Pongo pygmaeus,31
1426,5/9/2017,operation,16,Lynx rufus,11
1427,5/9/2017,operation,3,Pongo pygmaeus,8
1428,5/9/2017,operation,11,Eunectes murinus,2
1429,6/9/2017,soins divers,25,Eunectes murinus,25
1430,6/9/2017,soins divers,1,Lynx rufus,16
1431,6/9/2017,operation,30,Haliaeetus leucocephalus,18
1432,6/9/2017,vaccin,11,Panthera leo,31
1433,6/9/2017,vaccin,30,Felis silvestris,30
1434,6/9/2017,soins divers,17,Loxodonta africana,16
1435,6/9/2017,mise en quarantaine,2,Canis lupus,4
1436,6/9/2017,vaccin,2,Ursus maritimus,1
1437,7/9/2017,soins divers,7,Haliaeetus leucocephalus,7
1438,8/9/2017,operation,28,Lynx rufus,2
1439,8/9/2017,mise en quarantaine,4,Elephas maximus,19
1440,8/9/2017,mise en quarantaine,10,Aptenodytes forsteri,13
1441,9/9/2017,operation,2,Felis silvestris,22
1442,10/9/2017,soins divers,10,Ardea cinerea,3
1443,10/9/2017,vaccin,30,Lutra lutra,25
1444,10/9/2017,soins divers,27,Cervus canadensis,7
1445,11/9/2017,soins divers,26,Ailurus fulgens,18
1446,11/9/2017,operation,12,Ursus maritimus,20
1447,11/9/2017,soins divers,26,Ailurus fulgens,33
1448,11/9/2017,platre,19,Struthio camelus,25
1449,11/9/2017,soins divers,3,Ardea cinerea,33
1450,12/9/2017,soins divers,29,Ardea cinerea,6
1451,12/9/2017,mise en quarantaine,12,Panthera leo,3
1452,12/9/2017,soins divers,25,Ardea cinerea,28
1453,12/9/2017,platre,27,Felis silvestris,9
1454,12/9/2017,operation,30,Bubo scandiacus,28
1455,13/9/2017,platre,1,Ailurus fulgens,27
1456,13/9/2017,operation,2,Panthera uncia,32
1457,13/9/2017,vaccin,3,Bubo scandiacus,29
1458,13/9/2017,vaccin,2,Panthera leo,1
1459,13/9/2017,platre,26,Prunella modularis,12
1460,13/9/2017,mise en quarantaine,4,Elephas maximus,27
1461,13/9/2017,platre,4,Struthio camelus,19
1462,13/9/2017,platre,19,Struthio camelus,38
1463,13/9/2017,soins divers,1,Ursus maritimus,27
1464,13/9/2017,operation,1,Pongo pygmaeus,16
1465,13/9/2017,vaccin,11,Struthio camelus,27
1466,13/9/2017,soins divers,11,Urocyon cinereoargenteus,23
1467,14/9/2017,vaccin,17,Canis dingo,1
1468,14/9/2017,mise en quarantaine,2,Pongo pygmaeus,35
1469,14/9/2017,platre,29,Bubo scandiacus,11
1470,15/9/2017,mise en quarantaine,7,Pongo pygmaeus,32
1471,15/9/2017,platre,27,Hippopotamus amphibius,10
1472,15/9/2017,soins divers,10,Ailuropoda melanoleuca,10
1473,15/9/2017,operation,28,Felis silvestris,29
1474,16/9/2017,soins divers,1,Pan troglodytes,8
1475,16/9/2017,operation,4,Felis silvestris,30
1476,16/9/2017,soins divers,19,Hippopotamus amphibius,14
1477,16/9/2017,mise en quarantaine,25,Felis silvestris,23
1478,16/9/2017,operation,28,Canis dingo,3
1479,17/9/2017,mise en quarantaine,11,Rangifer tarandus,28
1480,17/9/2017,mise en quarantaine,19,Eunectes murinus,31
1481,17/9/2017,operation,26,Hippopotamus amphibius,9
1482,17/9/2017,soins divers,7,Struthio camelus,1
1483,17/9/2017,soins divers,19,Ursus maritimus,33
1484,18/9/2017,vaccin,12,Urocyon cinereoargenteus,24
1485,18/9/2017,operation,1,Hippopotamus amphibius,24
1486,19/9/2017,operation,4,Felis silvestris,10
1487,19/9/2017,platre,19,Felis silvestris,10
1488,19/9/2017,mise en quarantaine,4,Lutra lutra,14
1489,20/9/2017,platre,25,Eunectes murinus,31
1490,21/9/2017,soins divers,28,Ursus maritimus,34
1491,21/9/2017,vaccin,26,Bubo scandiacus,11
1492,21/9/2017,platre,1,Bubo scandiacus,1
1493,21/9/2017,platre,10,Canis lupus,6
1494,21/9/2017,operation,3,Ardea cinerea,36
1495,21/9/2017,platre,4,Panthera uncia,23
1496,21/9/2017,soins divers,12,Bubo scandiacus,20
